id,ra_deg,dec_deg,magnitude
HIP6432,20.654447,1.726002,6.210
HIP6486,20.840805,58.142326,6.360
HIP6492,20.853916,20.468899,5.970
HIP6502,20.878862,-30.945954,5.840
HIP6512,20.908090,34.246752,6.280
HIP6514,20.919941,37.714798,5.600
HIP6522,20.944893,78.726080,6.070
HIP6537,21.005267,-8.184780,3.600
HIP6539,21.011911,-8.007911,6.210
HIP6564,21.085655,-6.914618,5.920
HIP6589,21.166608,-15.660617,6.170
HIP6592,21.170102,-41.492821,5.420
HIP6595,21.174556,-44.528718,6.260
HIP6605,21.202910,-2.848796,6.170
HIP6631,21.272434,-64.369604,5.920
HIP6669,21.398928,23.511356,6.180
HIP6670,21.405459,-14.598923,4.900
HIP6685,21.443161,70.979785,6.340
HIP6686,21.457647,60.234919,2.660
HIP6687,21.468628,-3.927585,6.500
HIP6692,21.484603,68.130209,4.720
HIP6702,21.538581,34.579074,6.340
HIP6706,21.563386,19.172421,5.350
HIP6711,21.578853,43.457294,5.980
HIP6714,21.598740,20.070509,6.440
HIP6717,21.614319,-0.399179,6.420
HIP6732,21.674046,19.239990,5.500
HIP6748,21.714965,-13.056446,5.510
HIP6776,21.777715,34.377473,6.270
HIP6789,21.847112,-22.338852,6.430
HIP6794,21.861231,41.101340,6.420
HIP6813,21.917468,45.405882,4.830
HIP6822,21.945263,-10.901466,6.130
HIP6867,22.091201,-43.319763,3.410
HIP6868,22.096303,7.961290,6.220
HIP6952,22.377265,-46.756299,6.250
HIP6960,22.400991,-21.629315,5.110
HIP6971,22.428698,-25.617655,6.370
HIP6981,22.470713,18.355650,6.010
HIP6999,22.525432,47.006961,5.270
HIP7007,22.548476,6.143479,4.840
HIP7016,22.595788,-26.207841,5.920
HIP7050,22.718260,66.098005,6.150
HIP7078,22.809658,70.264045,5.820
HIP7083,22.814318,-49.071567,3.930
HIP7097,22.871071,15.345799,3.620
HIP7115,22.912408,-45.575677,6.170
HIP7118,22.930162,-30.283555,5.790
HIP7147,23.031483,34.799923,6.390
HIP7189,23.151248,-49.728254,6.270
HIP7213,23.233546,-36.865381,5.490
HIP7243,23.326295,8.208505,6.310
HIP7251,23.357183,58.327300,5.690
HIP7271,23.412371,-78.505832,6.110
HIP7276,23.429796,-7.025941,5.750
HIP7283,23.480122,89.015400,6.460
HIP7294,23.482300,59.231869,4.680
HIP7321,23.569302,37.236991,5.900
HIP7345,23.658124,-15.676379,5.620
HIP7359,23.704674,18.460027,5.900
HIP7361,23.711020,-31.892628,6.110
HIP7362,23.713922,-3.524134,6.440
HIP7363,23.715082,-23.699586,6.410
HIP7387,23.815936,-58.139718,6.030
HIP7436,23.943540,14.661366,6.230
HIP7443,23.960308,-39.947486,6.430
HIP7444,23.970360,41.076425,6.390
HIP7447,23.979281,17.433997,5.950
HIP7450,23.995841,-15.400083,5.410
HIP7463,24.036431,-29.906964,5.690
HIP7493,24.113172,48.722638,6.200
HIP7505,24.181398,7.831596,6.390
HIP7506,24.186927,-58.270960,6.180
HIP7513,24.197791,41.402654,4.100
HIP7535,24.274086,12.141608,5.540
HIP7568,24.368636,-84.769420,5.660
HIP7580,24.408961,-9.402965,6.240
HIP7588,24.429537,-57.237052,0.450
HIP7593,24.446647,64.739361,6.490
HIP7597,24.467144,-3.440756,6.430
HIP7601,24.486746,-82.974107,5.880
HIP7607,24.498753,48.627385,3.590
HIP7617,24.531566,57.977590,5.550
HIP7643,24.614398,-36.529152,5.940
HIP7650,24.628592,73.039943,5.280
HIP7651,24.632440,45.399710,6.380
HIP7679,24.716793,-21.275111,5.580
HIP7719,24.837314,44.386275,5.010
HIP7740,24.920702,16.405773,5.980
HIP7751,24.951320,-56.196277,5.760
HIP7786,25.054418,53.868244,6.350
HIP7818,25.145217,40.576876,4.960
HIP7819,25.146029,8.760783,6.340
HIP7825,25.166233,43.297454,5.630
HIP7874,25.327492,25.745413,6.200
HIP7879,25.341177,-79.148037,6.330
HIP7884,25.357722,5.487640,4.450
HIP7886,25.364270,-38.132411,6.200
HIP7906,25.413426,30.047072,5.970
HIP7916,25.437256,-11.327700,5.750
