loc,iso_utc,route,az_kotlin,alt_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr_appweather,alt_oracle_refr_appweather
Tromso,2000-01-01T12:00:00,moon,254.05158047,-6.65498671,254.05297650,-6.65504465,254.05297650,-6.47821155
Tromso,2000-01-01T12:00:00,planet_mercury,204.86250807,-6.10388267,204.87402676,-6.10587372,204.87402676,-5.92864207
Tromso,2000-01-01T12:00:00,planet_venus,235.52733235,-7.43536000,235.53731805,-7.43751031,235.53731805,-7.26129384
Tromso,2000-01-01T12:00:00,planet_mars,149.70142207,4.54097603,149.71019319,4.36405485,149.71019319,4.52810867
Tromso,2000-01-01T12:00:00,planet_jupiter,92.18996948,10.07305336,92.20136049,9.98478166,92.20136049,10.07097969
Tromso,2000-01-01T12:00:00,planet_saturn,76.87075309,8.70892499,76.86349427,8.60211679,76.86349427,8.70084357
Tromso,2000-01-01T12:00:00,planet_uranus,162.73443095,2.64540597,162.74546887,2.38951555,162.74546887,2.56941864
Tromso,2000-01-01T12:00:00,planet_neptune,174.30989096,1.38765118,174.32078968,1.03311168,174.32078968,1.21302285
Tromso,2000-01-01T12:00:00,moon_geocentric,254.04965932,-5.75555496,254.05297650,-6.65504465,254.05297650,-6.47821155
CapeTown,2030-06-21T00:00:00,sun,119.00937453,-71.09605251,119.01154784,-71.09648438,119.01154784,-71.09132849
CapeTown,2030-06-21T00:00:00,moon,68.76272393,32.65039048,68.76255195,32.62554556,68.76255195,32.65023353
CapeTown,2030-06-21T00:00:00,planet_mercury,110.95444608,-68.07254588,110.95117565,-68.07137380,110.95117565,-68.06189105
CapeTown,2030-06-21T00:00:00,planet_venus,95.62730662,-41.79574711,95.62550800,-41.79674032,95.62550800,-41.70679778
CapeTown,2030-06-21T00:00:00,planet_mars,107.73750014,-65.48723797,107.73060052,-65.48761858,107.73060052,-65.47344815
CapeTown,2030-06-21T00:00:00,planet_jupiter,271.70735061,32.74741313,271.70545519,32.73065277,271.70545519,32.75524196
CapeTown,2030-06-21T00:00:00,planet_saturn,97.68290922,-45.81894398,97.68563640,-45.83406098,97.68563640,-45.75939045
CapeTown,2030-06-21T00:00:00,planet_uranus,105.29615373,-62.20953665,105.28996477,-62.20960227,105.28996477,-62.18818013
CapeTown,2030-06-21T00:00:00,planet_neptune,84.07615483,2.22535117,84.07571492,1.93983918,84.07571492,2.11951835
CapeTown,2030-06-21T00:00:00,moon_geocentric,68.75942439,33.45004229,68.76255195,32.62554556,68.76255195,32.65023353
Honolulu,2030-06-21T00:00:00,sun,280.14566588,69.83964327,280.14356307,69.83303125,280.14356307,69.83886590
Honolulu,2030-06-21T00:00:00,moon,284.67171431,-41.21108125,284.67168233,-41.21189953,284.67168233,-41.11958496
Honolulu,2030-06-21T00:00:00,planet_mercury,281.40150851,65.74713113,281.40160934,65.73677525,281.40160934,65.74393525
Honolulu,2030-06-21T00:00:00,planet_venus,276.75265166,38.36169251,276.75420013,38.33866306,276.75420013,38.35870908
Honolulu,2030-06-21T00:00:00,planet_mars,280.79422129,62.88140669,280.79973065,62.87114646,280.79973065,62.87928454
Honolulu,2030-06-21T00:00:00,planet_jupiter,97.46087242,-28.76621041,97.46531832,-28.77539972,97.46531832,-28.63992094
Honolulu,2030-06-21T00:00:00,planet_saturn,276.44067698,42.63976766,276.44441097,42.63643989,276.44441097,42.65366857
Honolulu,2030-06-21T00:00:00,planet_uranus,279.57361645,59.48394444,279.57876332,59.47292576,279.57876332,59.48229083
Honolulu,2030-06-21T00:00:00,planet_neptune,276.74236592,-6.63541275,276.74359628,-6.63201530,276.74359628,-6.45508456
Honolulu,2030-06-21T00:00:00,moon_geocentric,284.66896840,-40.49560527,284.67168233,-41.21189953,284.67168233,-41.11958496
Quito,2030-06-21T00:00:00,sun,293.83015532,-10.14442631,293.82941198,-10.14664071,293.82941198,-10.01316759
Quito,2030-06-21T00:00:00,moon,96.12289572,-58.45476293,96.12354785,-58.45377881,96.12354785,-58.42954741
Quito,2030-06-21T00:00:00,planet_mercury,294.81741229,-14.15099094,294.81776779,-14.15495778,294.81776779,-14.02550258
Quito,2030-06-21T00:00:00,planet_venus,294.63848564,-41.68121355,294.64019767,-41.68319150,294.64019767,-41.61370945
Quito,2030-06-21T00:00:00,planet_mars,294.92737376,-17.02782561,294.93017821,-17.02981395,294.93017821,-16.90402168
Quito,2030-06-21T00:00:00,planet_jupiter,116.62260148,51.19015570,116.62738062,51.16726077,116.62738062,51.17689843
Quito,2030-06-21T00:00:00,planet_saturn,293.99719687,-37.42220792,293.99965596,-37.40745338,293.99965596,-37.32578164
Quito,2030-06-21T00:00:00,planet_uranus,294.71796728,-20.47129050,294.72090149,-20.47236396,294.72090149,-20.35183888
Quito,2030-06-21T00:00:00,planet_neptune,332.51119418,-85.69102284,332.49441631,-85.68762937,332.49441631,-85.68836323
Quito,2030-06-21T00:00:00,moon_geocentric,96.12289572,-57.95650540,96.12354785,-58.45377881,96.12354785,-58.42954741
Sydney,2030-06-21T00:00:00,sun,29.97949462,26.34223175,29.98017502,26.30722110,29.98017502,26.33906763
Sydney,2030-06-21T00:00:00,moon,271.98219390,7.94251154,271.98139057,7.83225033,271.98139057,7.93914502
Sydney,2030-06-21T00:00:00,planet_mercury,25.55721168,27.53847234,25.55501838,27.50584357,25.55501838,27.53609827
Sydney,2030-06-21T00:00:00,planet_venus,355.04217132,37.86232323,355.04120108,37.83844135,355.04120108,37.85878101
Sydney,2030-06-21T00:00:00,planet_mars,22.64168254,28.83316210,22.63928452,28.80037121,22.63928452,28.82904173
Sydney,2030-06-21T00:00:00,planet_jupiter,162.87091683,-38.07546039,162.88187067,-38.07180720,162.88187067,-37.96810815
Sydney,2030-06-21T00:00:00,planet_saturn,0.40630481,37.30719466,0.42391847,37.27932681,0.42391847,37.30007939
Sydney,2030-06-21T00:00:00,planet_uranus,19.22478092,30.58791078,19.22249135,30.55772209,19.22249135,30.58443575
Sydney,2030-06-21T00:00:00,planet_neptune,300.18912434,31.37439154,300.19347552,31.34745755,300.19347552,31.37335568
Sydney,2030-06-21T00:00:00,moon_geocentric,271.98517901,8.87457636,271.98139057,7.83225033,271.98139057,7.93914502
Tehran,2030-06-21T00:00:00,sun,47.18711401,-13.73125098,47.18748459,-13.73428920,47.18748459,-13.58266797
