loc,lat_deg,lon_deg,height_m,iso_utc,jd_utc,obj_id,obj_type,ra_in_deg,dec_in_deg,mag,gmst_deg_oracle,gmst_deg_kotlin,gast_deg_oracle,gast_deg_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr1010,alt_oracle_refr1010,az_oracle_refr_appweather,alt_oracle_refr_appweather,az_kotlin_star_live,alt_kotlin_star_live,az_kotlin_star_live_elev,alt_kotlin_star_live_elev,az_kotlin_fte,alt_kotlin_fte
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m8_lagoon,NEBULA,270.920000,-24.380000,6.0,283.951472328,283.951484917,283.953807952,283.953820514,281.21441809,61.39305564,281.21441809,61.40183908,281.21441809,61.40170105,281.21478603,61.39711299,281.21478603,61.39709121,281.21298987,61.40038329
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_eta_carinae_nebula,NEBULA,161.260000,-59.870000,1.0,283.951472328,283.951484917,283.953807952,283.953820514,198.64347187,9.30821529,198.64347187,9.40156778,198.64347187,9.40003201,198.64850320,9.40702067,198.64850320,9.40679338,198.64753268,9.40795390
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cma_sirius,STAR,101.287000,-16.716000,-1.46,283.951472328,283.951484917,283.953807952,283.953820514,214.18024798,44.99813239,214.18024798,45.01422294,214.18024798,45.01400028,214.17517234,45.01062301,214.17517234,45.01061502,214.17458429,45.01325475
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cma_adhara,STAR,104.656000,-28.972000,1.5,283.951472328,283.951484917,283.953807952,283.953820514,202.89634940,35.70100081,202.89634940,35.72336158,202.89634940,35.72305173,202.89156788,35.71931172,202.89156788,35.71930063,202.89111843,35.72153884
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cma_wezen,STAR,107.098000,-26.393000,1.83,283.951472328,283.951484917,283.953807952,283.953820514,201.68742042,38.92606820,201.68742042,38.94597473,201.68742042,38.94569905,201.68263327,38.94200150,201.68263327,38.94199162,201.68194528,38.94418331
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cma_mirzam,STAR,95.675000,-17.956000,1.98,283.951472328,283.951484917,283.953807952,283.953820514,219.15308666,40.87521677,219.15308666,40.89379853,219.15308666,40.89354127,219.14812840,40.89009570,219.14812840,40.89008648,219.14798342,40.89286348
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cmi_procyon,STAR,114.825000,5.225000,0.34,283.951472328,283.951484917,283.953807952,283.953820514,214.78486687,70.69577042,214.78486687,70.70141314,214.78486687,70.70133516,214.77666657,70.69920359,214.77666657,70.69920079,214.77291106,70.70189290
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_car_canopus,STAR,95.987000,-52.695000,-0.74,283.951472328,283.951484917,283.953807952,283.953820514,197.99044943,11.53523590,197.99044943,11.61158601,197.99044943,11.61049354,197.98537148,11.60750681,197.98537148,11.60746944,197.98603813,11.61022717
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_car_miaplacidus,STAR,138.300000,-69.720000,1.67,283.951472328,283.951484917,283.953807952,283.953820514,175.79838177,-1.55754173,175.79838177,-1.37275778,175.79838177,-1.37799079,175.79295578,-1.56216118,175.79295578,-1.56216118,175.79420159,-1.56113863
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cen_rigil_kent,STAR,219.900000,-60.833000,-0.01,283.951472328,283.951484917,283.953807952,283.953820514,148.85391618,-20.59333975,148.85391618,-20.43253809,148.85391618,-20.43656439,148.84814360,-20.59522699,148.84814360,-20.59522699,148.85050020,-20.59569468
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cen_hadar,STAR,210.956000,-60.373000,0.61,283.951472328,283.951484917,283.953807952,283.953820514,149.26872924,-16.19984525,149.26872924,-16.03010976,149.26872924,-16.03455545,149.26329115,-16.20206195,149.26329115,-16.20206195,149.26537801,-16.20250662
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_lyr_vega,STAR,279.234000,38.783000,0.03,283.951472328,283.951484917,283.953807952,283.953820514,22.65100337,-24.90870038,22.65100337,-24.75872978,22.65100337,-24.76229736,22.65542522,-24.90932739,22.65542522,-24.90932739,22.65554157,-24.91161493
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cyg_deneb,STAR,310.358000,45.280000,1.25,283.951472328,283.951484917,283.953807952,283.953820514,356.56446806,-23.18558109,356.56446806,-23.03104487,356.56446806,-23.03479975,356.56899090,-23.18826618,356.56899090,-23.18826618,356.56885589,-23.18932981
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cyg_sadr,STAR,305.557000,40.260000,2.23,283.951472328,283.951484917,283.953807952,283.953820514,0.25238144,-28.34044943,0.25238144,-28.20048443,0.25238144,-28.20366893,0.25747565,-28.34276501,0.25747565,-28.34276501,0.25704448,-28.34402134
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_cyg_albireo,STAR,292.680000,27.960000,3.05,283.951472328,283.951484917,283.953807952,283.953820514,14.97851703,-39.06303362,14.97851703,-38.96066566,14.97851703,-38.96266826,14.98482461,-39.06370848,14.98482461,-39.06370848,14.98392700,-39.06567475
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_aql_altair,STAR,297.696000,8.868000,0.76,283.951472328,283.951484917,283.953807952,283.953820514,15.49740846,-58.73027250,15.49740846,-58.69911986,15.49740846,-58.69958853,15.50853934,-58.72991486,15.50853934,-58.72991486,15.50555160,-58.73190421
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_ori_betelgeuse,STAR,88.793000,7.407000,0.5,283.951472328,283.951484917,283.953807952,283.953820514,254.27125441,51.74811168,254.27125441,51.76080320,254.27125441,51.76062768,254.26626434,51.75873848,254.26626434,51.75873218,254.26792652,51.76187555
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_ori_rigel,STAR,78.634000,-8.202000,0.13,283.951472328,283.951484917,283.953807952,283.953820514,242.53962052,35.14685872,242.53962052,35.16967951,242.53962052,35.16936325,242.53522465,35.16614015,242.53522465,35.16612884,242.53620270,35.16926971
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_ori_bellatrix,STAR,81.283000,6.350000,1.64,283.951472328,283.951484917,283.953807952,283.953820514,257.49498263,44.53028931,257.49498263,44.54664404,257.49498263,44.54641771,257.49065604,44.54415029,257.49065604,44.54414218,257.49238185,44.54724922
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_ori_saiph,STAR,86.939000,-9.670000,2.07,283.951472328,283.951484917,283.953807952,283.953820514,234.84748436,40.87602260,234.84748436,40.89460383,234.84748436,40.89434658,234.84268385,40.89122130,234.84268385,40.89121208,234.84325083,40.89429207
Honolulu,21.31,-157.86,5.0,2026-09-04T20:00:00,2461288.333333334,star_ori_alnitak,STAR,85.190000,-1.940000,1.77,283.951472328,283.951484917,283.953807952,283.953820514,244.70374081,44.03709501,244.70374081,44.05373299,244.70374081,44.05350273,244.69901211,44.05081178,244.69901211,44.05080353,244.70003816,44.05395827
